rank,relevance_score,ai_career_score,final_ai_score,ai_rank,title,company,location,salary,job_type,summary,url,source,scraped_at
1,12,20,14.399999999999999,1,Senior Software Engineer (Node.js & Google Cloud),Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/senior-software-engineer-node-js-google-cloud-at-uplers-4283457652?position=15&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=B%2BJ9WZnZb1X8qh6nuXJtmA%3D%3D,LinkedIn,2025-08-28 19:12:40
2,12,15,12.899999999999999,2,Senior/ Lead Data Engineer - Azure,Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/senior-lead-data-engineer-azure-at-uplers-4288931740?position=16&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=Z9I8uKuyQ%2FWgS1GIyB%2FJZA%3D%3D,LinkedIn,2025-08-28 19:12:40
3,12,15,12.899999999999999,3,Senior Staff Engineer - Golang,Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/senior-staff-engineer-golang-at-uplers-4283540182?position=14&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=pyzCoY2lICCylyL5tIY86w%3D%3D,LinkedIn,2025-08-28 19:12:40
4,12,15,12.899999999999999,4,DEVOPS TECHNICAL LEAD - LEAD,Happiest Minds Technologies,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/devops-technical-lead-lead-at-happiest-minds-technologies-4292364161?position=9&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=3vojMiwACnNp86KYyVVsmQ%3D%3D,LinkedIn,2025-08-28 19:12:40
5,12,15,12.899999999999999,5,Senior DevOps/SRE Engineer - Remote Work | REF#284485,BairesDev,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/senior-devops-sre-engineer-remote-work-ref%23284485-at-bairesdev-4292009471?position=4&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=3mt9IJE%2BsJqIgy9iAIhSPw%3D%3D,LinkedIn,2025-08-28 19:12:40
6,10,0,7.0,6,Junior DevOps Engineer,Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/junior-devops-engineer-at-uplers-4290928094?position=3&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=V5UpG9n7%2FLxrIQb8ErRo3g%3D%3D,LinkedIn,2025-08-28 19:12:40
7,7,5,6.3999999999999995,7,Cloud Data Engineers,Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/cloud-data-engineers-at-uplers-4275925400?position=10&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=Q%2FWMF1O74wSKxF%2BIwyMBDw%3D%3D,LinkedIn,2025-08-28 19:12:40
8,7,0,4.8999999999999995,8,DevOps/SRE Engineer - Remote Work,BairesDev,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/devops-sre-engineer-remote-work-at-bairesdev-4291597577?position=1&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=8bS11hMw1iTdYZ778ZO%2Fjw%3D%3D,LinkedIn,2025-08-28 19:12:40
9,7,0,4.8999999999999995,9,DevOps Engineer  - Remote Work,BairesDev,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/devops-engineer-remote-work-at-bairesdev-4291594642?position=2&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=%2FUEq5CIcYoowvaSgk3wN2w%3D%3D,LinkedIn,2025-08-28 19:12:40
10,7,0,4.8999999999999995,10,DevOps Engineer,Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/devops-engineer-at-uplers-4291572007?position=5&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=9cbZWZrtXOq%2BU%2BTDbg1V3w%3D%3D,LinkedIn,2025-08-28 19:12:40
11,7,0,4.8999999999999995,11,Site Reliability Engineer,Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/site-reliability-engineer-at-uplers-4287945531?position=8&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=EkKRjyB1nZkDHDRl%2FRyR9w%3D%3D,LinkedIn,2025-08-28 19:12:40
12,7,0,4.8999999999999995,12,Azure Data Engineer,KEVELL GURU,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/azure-data-engineer-at-kevell-guru-4272834585?position=6&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=vUos1Myfc9Uw85QU63N%2Bkw%3D%3D,LinkedIn,2025-08-28 19:12:40
13,7,0,4.8999999999999995,13,Staff Engineer- SRE,Uplers,"Madurai, Tamil Nadu, India",Not specified,Not specified,,https://in.linkedin.com/jobs/view/staff-engineer-sre-at-uplers-4289235774?position=13&pageNum=0&refId=OeVuD1JTlMnWZ3oa6T1j1w%3D%3D&trackingId=dwhAY6P3DSd7j%2FP7gRqMNg%3D%3D,LinkedIn,2025-08-28 19:12:40
