rank,relevance_score,ai_career_score,final_ai_score,ai_rank,title,company,location,salary,salary_numeric,job_type,summary,url,source,scraped_at
1,22,0,22.0,46,Predigle - AI Engineer - Machine Learning/Python,Predigle,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/predigle-ai-engineer-machine-learning-python-at-predigle-4259031531?position=55&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=E%2FmLYTIqqkDvxzusg2PYZQ%3D%3D,LinkedIn,2025-08-28 21:32:11
2,22,0,22.0,24,Data Scientist - Python/LLM,Sampoorna Consultants,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/data-scientist-python-llm-at-sampoorna-consultants-4288624215?position=25&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=ymN1ZAajnDl7r5KyRYsjow%3D%3D,LinkedIn,2025-08-28 21:32:11
3,12,20,15.2,1,Senior Software Engineer (AI/ML Engineer),DHL,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/senior-software-engineer-ai-ml-engineer-at-dhl-4281358908?position=4&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=wUaChe3wlgHEXsWYTkKccw%3D%3D,LinkedIn,2025-08-28 21:32:11
4,22,5,15.2,2,Python Developer,IDFC FIRST Bank,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/python-developer-at-idfc-first-bank-4282461540?position=17&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=%2BvW8R%2FdjRupJRcHxsgVuWA%3D%3D,LinkedIn,2025-08-28 21:32:11
5,12,0,12.0,27,Lead  Generative AI / Machine Learning / Artificial Intelligence,InteleANTS LLC,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/lead-generative-ai-machine-learning-artificial-intelligence-at-inteleants-llc-4237353529?position=28&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=ccKgiN%2BmcnIFNpw4uBrMwQ%3D%3D,LinkedIn,2025-08-28 21:32:11
6,12,0,12.0,38,Senior AI Engineer,Kantar,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/senior-ai-engineer-at-kantar-4023546918?position=47&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=sgyJuw7SmpRB85wDSQG3VA%3D%3D,LinkedIn,2025-08-28 21:32:11
7,12,0,12.0,25,Senior AI/ML Engineer,Evnek,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/senior-ai-ml-engineer-at-evnek-4291049537?position=26&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=a38qra%2FX6KdzmR7CM9DVsw%3D%3D,LinkedIn,2025-08-28 21:32:11
8,12,0,12.0,48,Senior AI Engineer,TargetBay,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/senior-ai-engineer-at-targetbay-4292170882?position=58&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=Sl5dK%2BA7%2F9s%2BSv3KExJGqQ%3D%3D,LinkedIn,2025-08-28 21:32:11
9,12,0,12.0,34,Senior Generative AI Engineer,FarmwiseAI,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/senior-generative-ai-engineer-at-farmwiseai-4227617560?position=36&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=rpGjVGlAfwx8Sr%2B8OKFn3w%3D%3D,LinkedIn,2025-08-28 21:32:11
10,12,0,12.0,29,Lead – Generative AI / Machine Learning / Artificial Intelligence,OJCommerce,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/lead-%E2%80%93-generative-ai-machine-learning-artificial-intelligence-at-ojcommerce-4234625908?position=30&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=EDZzx9LXKFE5f%2FLUv7xrvQ%3D%3D,LinkedIn,2025-08-28 21:32:11
11,12,0,12.0,41,Data Scientist/ Senior Data Scientist,Ideas2IT Technologies,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/data-scientist-senior-data-scientist-at-ideas2it-technologies-4182908532?position=50&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=248lyUPCAx6TTF0tO2%2Fujw%3D%3D,LinkedIn,2025-08-28 21:32:11
12,12,0,12.0,26,Senior AI Engineer,Arcadia,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/senior-ai-engineer-at-arcadia-4289761876?position=27&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=WR31sw2Sjn%2FFZNW%2BIMUrCA%3D%3D,LinkedIn,2025-08-28 21:32:11
13,12,0,12.0,40,Lead Platform Engineer (DevOps & AI/ML/Gen-AI),EPAM Systems,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/lead-platform-engineer-devops-ai-ml-gen-ai-at-epam-systems-4291654361?position=49&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=EeToCmC74i4Pw8NknGi33w%3D%3D,LinkedIn,2025-08-28 21:32:11
14,7,0,7.0,22,Data Scientist (AI),Dicetek LLC,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/data-scientist-ai-at-dicetek-llc-4231069496?position=23&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=DK1Aa9YP%2FA17pmgvq2f5eA%3D%3D,LinkedIn,2025-08-28 21:32:11
15,7,0,7.0,23,AI/ML Backend Developer (GenAI) -Contract Hiring - GO/JC/842/2025,Golden Opportunities,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/ai-ml-backend-developer-genai-contract-hiring-go-jc-842-2025-at-golden-opportunities-4287395629?position=24&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=o%2BI%2B460siC7vTohqEJSa8g%3D%3D,LinkedIn,2025-08-28 21:32:11
16,7,0,7.0,21,Artificial Intelligence Engineer,Confidential,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/artificial-intelligence-engineer-at-confidential-4282550184?position=22&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=GUJxfvKuEbbWopDvO%2F0uWw%3D%3D,LinkedIn,2025-08-28 21:32:11
17,7,0,7.0,31,Gen AI Data science,Virtusa,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/gen-ai-data-science-at-virtusa-4281082209?position=32&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=%2BwspfKrkh6vYFdA39Z%2BRHg%3D%3D,LinkedIn,2025-08-28 21:32:11
18,7,0,7.0,30,"Test Engineer, AI/ML",ValGenesis,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/test-engineer-ai-ml-at-valgenesis-4269669187?position=31&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=G5HTyyB3emBDdB1Me09vzQ%3D%3D,LinkedIn,2025-08-28 21:32:11
19,7,0,7.0,42,Research Scientist,NielsenIQ,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/research-scientist-at-nielseniq-4256380756?position=51&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=nmT3uGFtxYBoxRkHFH7abQ%3D%3D,LinkedIn,2025-08-28 21:32:11
20,7,0,7.0,39,AI Engineers,HTC Global Services,Greater Chennai Area,Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/ai-engineers-at-htc-global-services-4278074151?position=48&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=7jOd8HoOpY14n2hJiiQlDw%3D%3D,LinkedIn,2025-08-28 21:32:11
21,7,0,7.0,33,Sr AI/ML Engineer,Botminds AI,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/sr-ai-ml-engineer-at-botminds-ai-4278267336?position=35&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=qoVsJ8P8uIZRdphUjd7gQA%3D%3D,LinkedIn,2025-08-28 21:32:11
22,7,0,7.0,32,Generative AI Engineer,HCLTech,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/generative-ai-engineer-at-hcltech-4280753202?position=34&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=jfmMgSVTvppRUwAschyHCg%3D%3D,LinkedIn,2025-08-28 21:32:11
23,7,0,7.0,28,Generative AI Developer,Visteon India,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/generative-ai-developer-at-visteon-india-4234707317?position=29&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=YdKYnfPQU83Aa%2BG1dmG1kA%3D%3D,LinkedIn,2025-08-28 21:32:11
24,7,0,7.0,36,Data Scientist,Logitech,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/data-scientist-at-logitech-4279652271?position=41&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=QdIR1CdcpGO1yIBO34paFQ%3D%3D,LinkedIn,2025-08-28 21:32:11
25,7,0,7.0,37,Generative AI Engineer,Zyoin Group,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/generative-ai-engineer-at-zyoin-group-4287331816?position=45&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=Wkcm8yupOFeDoDxQx5aMGQ%3D%3D,LinkedIn,2025-08-28 21:32:11
26,7,0,7.0,35,AI / ML Engineer,Accenture in India,Greater Chennai Area,Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-in-india-4259812989?position=37&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=2uzleTmuVv4hX6oZdrvO0w%3D%3D,LinkedIn,2025-08-28 21:32:11
27,7,0,7.0,45,AI Trainer - Freelance Data Annotator,Toloka Annotators,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/ai-trainer-freelance-data-annotator-at-toloka-annotators-4291667614?position=54&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=sDX%2BXatspJNuKEdoB7tftg%3D%3D,LinkedIn,2025-08-28 21:32:11
28,7,0,7.0,47,Gen AI Engineer,Datum Technologies Group,"Chennai, Tamil Nadu, India",Not specified,0,Not specified,,https://in.linkedin.com/jobs/view/gen-ai-engineer-at-datum-technologies-group-4281662385?position=57&pageNum=0&refId=AcG7NOWuQoIMvcIBwTRa%2Fg%3D%3D&trackingId=HdE6tz%2Fr8Q3rFQamIJsV%2Fw%3D%3D,LinkedIn,2025-08-28 21:32:11
