rank,relevance_score,ai_career_score,final_ai_score,ai_rank,title,company,location,salary,job_type,summary,url,source,scraped_at
1,5,15,8.0,1,Senior Director of Brand Marketing,Pressed Juicery,"Culver City, CA",Not specified,Not specified,,https://www.linkedin.com/jobs/view/senior-director-of-brand-marketing-at-pressed-juicery-4283028369?position=5&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=DURsTnz9eQQJFqnfo9poSw%3D%3D,LinkedIn,2025-08-28 19:02:41
2,5,0,5.0,38,Senior Director Global Consumer & Brand Activation,AMOREPACIFIC,Los Angeles Metropolitan Area,Not specified,Not specified,,https://www.linkedin.com/jobs/view/senior-director-global-consumer-brand-activation-at-amorepacific-4291365083?position=41&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=KC7p0L%2FdfYZa%2FPbz3pPeDw%3D%3D,LinkedIn,2025-08-28 19:02:41
3,5,0,5.0,32,Senior Director of Global Heinz Brand Strategy,Kraft Heinz,"Chicago, IL",Not specified,Not specified,,https://www.linkedin.com/jobs/view/senior-director-of-global-heinz-brand-strategy-at-kraft-heinz-4291328272?position=34&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=h7n4kZjrPxzF3kR95KtITg%3D%3D,LinkedIn,2025-08-28 19:02:41
4,5,0,5.0,42,"Senior Vice President, Marketing",NU Advisory Partners,United States,Not specified,Not specified,,https://www.linkedin.com/jobs/view/senior-vice-president-marketing-at-nu-advisory-partners-4281374266?position=45&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=rEiin1RJoUO8svuaDbG8xg%3D%3D,LinkedIn,2025-08-28 19:02:41
5,5,0,5.0,47,Senior Director of Brand Marketing - Pressed Juicery,Nosh.com (by BevNET),"Los Angeles, CA",Not specified,Not specified,,https://www.linkedin.com/jobs/view/senior-director-of-brand-marketing-pressed-juicery-at-nosh-com-by-bevnet-4286657077?position=50&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=EGLiyuB0KIuF3UU4Eh7mkQ%3D%3D,LinkedIn,2025-08-28 19:02:41
6,5,0,5.0,27,"Senior Vice President, Marketing",OSEA Malibu,"Los Angeles, CA",Not specified,Not specified,,https://www.linkedin.com/jobs/view/senior-vice-president-marketing-at-osea-malibu-4289962502?position=28&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=140Wmr6y3oV0%2BjqrhTfqFg%3D%3D,LinkedIn,2025-08-28 19:02:41
7,5,0,5.0,26,Senior Vice President Marketing,Cadent,New York City Metropolitan Area,Not specified,Not specified,,https://www.linkedin.com/jobs/view/senior-vice-president-marketing-at-cadent-4265221747?position=27&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=WZ8jvS4Sl7QFb6eV9RRNsg%3D%3D,LinkedIn,2025-08-28 19:02:41
8,0,0,0.0,2,Vice President Marketing,Bucket Listers,New York City Metropolitan Area,Not specified,Not specified,,https://www.linkedin.com/jobs/view/vice-president-marketing-at-bucket-listers-4266553636?position=1&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=ffE7Y66SugY59ydg0PfDuw%3D%3D,LinkedIn,2025-08-28 19:02:41
9,0,0,0.0,3,"Director, Brand Strategy - Private Brands",Macy's,New York City Metropolitan Area,Not specified,Not specified,,https://www.linkedin.com/jobs/view/director-brand-strategy-private-brands-at-macy-s-4271059898?position=3&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=m3%2B4aTNR%2FIkyZF8Qo73bmw%3D%3D,LinkedIn,2025-08-28 19:02:41
10,0,0,0.0,10,Marketing Director,Winans Coffee & Chocolate,Dayton Metropolitan Area,Not specified,Not specified,,https://www.linkedin.com/jobs/view/marketing-director-at-winans-coffee-chocolate-4288955731?position=10&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=XmFJRIOe4ouOtF62zndMsQ%3D%3D,LinkedIn,2025-08-28 19:02:41
11,0,0,0.0,11,Director of Brand Marketing,ForceBrands,Greater Chicago Area,Not specified,Not specified,,https://www.linkedin.com/jobs/view/director-of-brand-marketing-at-forcebrands-4283416348?position=11&pageNum=0&refId=1rda6WBOUlP1hlG2Mpt4aw%3D%3D&trackingId=DMNJtLdNTfbq9J4A21UuSQ%3D%3D,LinkedIn,2025-08-28 19:02:41
